DATE,PAYEMS,UNRATE
2015-01-01,140568,5.7
2015-02-01,140839,5.5
2015-03-01,140910,5.4
2015-04-01,141194,5.4
2015-05-01,141525,5.6
2015-06-01,141699,5.3
2015-07-01,142001,5.2
2015-08-01,142126,5.1
2015-09-01,142281,5.0
2015-10-01,142587,5.0
2015-11-01,142824,5.1
2015-12-01,143097,5.0
2016-01-01,143205,4.8
2016-02-01,143417,4.9
2016-03-01,143654,5.0
2016-04-01,143851,5.1
2016-05-01,143892,4.8
2016-06-01,144150,4.9
2016-07-01,144521,4.8
2016-08-01,144664,4.9
2016-09-01,144953,5.0
2016-10-01,145071,4.9
2016-11-01,145201,4.7
2016-12-01,145415,4.7
2017-01-01,145612,4.7
2017-02-01,145795,4.6
2017-03-01,145934,4.4
2017-04-01,146154,4.5
2017-05-01,146295,4.4
2017-06-01,146506,4.3
2017-07-01,146734,4.3
2017-08-01,146924,4.4
2017-09-01,146966,4.2
2017-10-01,147215,4.1
2017-11-01,147411,4.2
2017-12-01,147590,4.1
2018-01-01,147671,4.0
2018-02-01,148049,4.1
2018-03-01,148244,4.0
2018-04-01,148397,4.0
2018-05-01,148667,3.8
2018-06-01,148881,4.0
2018-07-01,149030,3.8
2018-08-01,149259,3.8
2018-09-01,149364,3.7
2018-10-01,149576,3.8
2018-11-01,149668,3.8
2018-12-01,149908,3.9
2019-01-01,150145,4.0
2019-02-01,150095,3.8
2019-03-01,150263,3.8
2019-04-01,150482,3.7
2019-05-01,150545,3.7
2019-06-01,150720,3.6
2019-07-01,150913,3.6
2019-08-01,151108,3.7
2019-09-01,151329,3.5
2019-10-01,151524,3.6
2019-11-01,151758,3.6
2019-12-01,151919,3.6
2020-01-01,152234,3.5
2020-02-01,152523,3.5
2020-03-01,150840,4.4
2020-04-01,130161,14.8
2020-05-01,132994,13.3
2020-06-01,137840,11.1
2020-07-01,139566,10.2
2020-08-01,141149,8.4
2020-09-01,141865,7.8
2020-10-01,142545,6.9
2020-11-01,142809,6.7
2020-12-01,142503,6.7
2021-01-01,142736,6.3
2021-02-01,143272,6.2
2021-03-01,144057,6.0
2021-04-01,144326,6.1
2021-05-01,144909,5.8
2021-06-01,145759,5.9
